Date,Confirmed,Label,Recovered
1/23/2020,639,18,30
1/24/2020,916,26,36
1/25/2020,1979,56,49
1/26/2020,2737,80,51
1/27/2020,4409,106,60
1/28/2020,5970,132,104
1/29/2020,7678,170,127
1/30/2020,9658,213,179
1/31/2020,9783,213,214
2/1/2020,14375,304,331
2/2/2020,17114,361,478
2/3/2020,20400,425,635
2/4/2020,24290,490,890
2/5/2020,24405,492,1020
2/6/2020,28165,565,1351
2/7/2020,31215,636,1750
2/8/2020,35051,730,2353
2/9/2020,40160,908,3286
2/10/2020,42310,1011,3921
2/11/2020,44641,1113,4730
2/12/2020,59805,1366,5915
2/13/2020,63841,1380,6713
2/14/2020,66482,1522,8105
2/15/2020,68500,1665,9454
2/16/2020,70550,1770,10879
2/17/2020,72438,1868,12621
2/18/2020,74185,2004,14420
2/19/2020,74576,2118,16232
2/20/2020,75465,2236,18346
2/21/2020,76290,2345,20731
2/22/2020,76936,2442,22917
2/23/2020,77150,2592,24779
2/24/2020,77658,2663,27359
2/25/2020,78064,2715,29783
2/26/2020,78487,2743,32534
2/27/2020,78824,2788,36141
2/28/2020,79250,2834,39012
2/29/2020,79822,2870,41640
3/1/2020,80026,2912,44502
3/2/2020,80151,2943,47190
3/3/2020,80267,2981,49865
3/4/2020,80409,3012,51961
3/5/2020,80552,3042,53714
3/6/2020,80651,3070,55392
3/7/2020,80695,3097,56940
3/8/2020,80735,3118,58543
3/9/2020,80754,3136,59888
3/10/2020,80778,3158,61463
3/11/2020,80793,3169,62780
3/12/2020,80796,3179,62851
3/13/2020,80824,3189,65540
3/14/2020,80844,3199,66911
3/15/2020,80860,3213,67749
3/16/2020,80881,3225,68679
3/17/2020,80894,3237,69601
3/18/2020,80928,3245,70420
3/19/2020,80968,3248,71150
3/20/2020,81006,3255,71725
3/21/2020,81054,3261,72244
3/22/2020,81094,3270,72546
3/23/2020,81134,3270,72555
3/24/2020,81180,3277,73214
3/25/2020,81227,3281,73708
3/26/2020,81298,3287,74106
3/27/2020,81345,3287,74112
3/28/2020,81401,3287,74121
3/29/2020,81455,3300,75505
3/30/2020,81479,3300,75507
3/31/2020,81535,3301,75527
4/1/2020,81575,3312,76290
4/2/2020,81590,3312,76307
4/3/2020,81623,3312,76335
4/4/2020,81638,3326,76799



